Cruise,Station,Target Asset,Start Latitude [degrees],Start Longitude [degrees],Start time [UTC],Cast,Cast Flag,Bottom depth at start positioning [m],CTD file,CTD file flag,Niskin/ Bottle Position,Niskin Flag,CTD Bottle Closure Time [UTC],CTD Pressure [db],CTD Pressure Flag,CTD Depth [m],CTD Latitude [deg],CTD Longitude [deg],CTD Temperature 1 [deg C],CTD Temperature 1 Flag,CTD Temperature 2 [deg C],CTD Temperature 2 Flag,CTD Conductivity 1 [S/m],CTD Conductivity 1 Flag,CTD Conductivity 2 [S/m],CTD Conductivity 2 Flag,"CTD Salinity 1, uncorrected [psu]","CTD salinity 2, uncorrected [psu]","CTD Oxygen, uncorrected [mL/L]",CTD Oxygen Flag,CTD Oxygen Saturation [mL/L],CTD Fluorescense [mg/m ^ 3],CTD Fluorescense Flag,CTD Beam Attenuation [1/m],CTD Beam Transmission [%],CTD Beam Transmissometer Flag,CTD pH,CTD pH Flag,Discrete Oxygen [mL/L],Discrete Oxygen Flag,Discrete Oxygen Duplicate Flag,Discrete Chlorophyll [ug/L],Discrete Phaeopigment [ug/L],Discrete Fo/Fa Ratio,Discrete Flourescence Flag,Discrete Flourescence Duplicate Flag,Discrete Phosphate [uM],Discrete Silicate [uM],Discrete Nitrate [uM],Discrete Nitrite [uM],Discrete Ammonium [uM],Discrete Nutrients Flag,Discrete Nutrients Duplicate Flag,Discrete Salinity [psu],Discrete Salinity flag,Discrete Salinity Duplicate Flag,Discrete Alkalinity [µmol/kg],Discrete Alkalinity Flag,Discrete Alkalinity Duplicate Flag,Discrete DIC [µmol/kg],Discrete DIC Flag,Discrete DIC Duplicate Flag,Discrete pCO2 [µatm],Discrete pCO2 Flag,Discrete pCO2 Duplicate Flag,Discrete pH,pH Analysis Temp [C],Discrete pH Flag,Discrete pH Duplicate Flag,Calculated Alkalinity [µmol/kg],Calculated CO2aq [µmol/kg],Calculated bicarb [µmol/kg],Calculated CO3 [µmol/kg],Calculated pH,Calculated Omega-C,Calculated Omega-A,Calculated Carbon Flag,Calculated Carbon Duplicate Flag
AT4212,1000m E of Axial Base Deep Profiler / 550m E of Axial Base Shallow Profiler,RS03AXPD,45.83050,-129.75317,2019-06-04T20:55:23.000Z,CTD-001,0000000000000101,2641,AT4212_CTD-001,0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
AT4212,1000m E of Axial Base Deep Profiler / 550m E of Axial Base Shallow Profiler,RS03AXPD,45.81750,-129.74533,2019-06-05T17:09:29.000Z,CTD-002,0000000000000101,757,AT4212_CTD-002,0000000000000110,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
AT4212,1000m E of Axial Base Deep Profiler / 550m E of Axial Base Shallow Profiler,RS03AXPD,45.82583,-129.74183,2019-06-05T23:06:57.000Z,CTD-003,0000000000000101,505,AT4212_CTD-003,0000000000000110,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
AT4212,1000m E of Axial Base Deep Profiler / 550m E of Axial Base Shallow Profiler,RS03AXPD,45.80850,-129.74533,2019-06-06T19:16:00.000Z,CTD-004,0000000000000101,1008,AT4212_CTD-004,0000000000000110,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
AT4212,250m W of Oregon Offshore Shallow Profiler,CE04OSPS,44.37383,-124.96000,2019-06-13T21:38:14.000Z,CTD-005,0000000000000100,580,AT4212_CTD-005,0000000000000100,1,0000000000000100,2019-06-13T21:49:31.000Z,223.068,0000000001000100,221.151,44.37390,-124.95984,6.9153,0000000000000100,6.9148,0000000000000100,3.437893,0000000010000100,3.437925,0000000010000100,33.9773,33.9782,1.9945,0000000011000100,6.80987,0.010100,0000000001000100,0.0258,99.3572,0000000001000100,7.557,0000000011000100,1.855513,0000000000000100,0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,2.2631,45.0083,33.9176,0.0267,-0.0001,0000000010000100,0000000010000100,33.9759,0000000010000100,0000000010000100,-9999999,-9999999,-9999999,2248.208494,0000000000000100,0000000000000100,893.82,0000000000000100,0000000000000100,-9999999,-9999999,-9999999,-9999999,2294.13,43.8,2145.43,58.97,7.711,1.311,0.849,0000000000000100,0000000000000100
AT4212,250m W of Oregon Offshore Shallow Profiler,CE04OSPS,44.37383,-124.96000,2019-06-13T21:38:14.000Z,CTD-005,0000000000000100,580,AT4212_CTD-005,0000000000000100,3,0000000000000100,2019-06-13T21:51:43.000Z,202.455,0000000001000100,200.725,44.37390,-124.95989,7.1631,0000000000000100,7.1508,0000000000000100,3.458137,0000000000000100,3.457269,0000000000000100,33.9650,33.9675,2.0131,0000000001000100,6.77185,0.013900,0000000001000100,0.0538,98.6632,0000000001000100,7.557,0000000011000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,2.2386,44.1836,32.9460,0.0460,0.0410,0000000010000100,0000000010000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,2262.615426,0000000000000100,0000000000000100,908.11,0000000000000100,0000000000000100,-9999999,-9999999,-9999999,-9999999,2308.71,44.13,2159,59.49,7.709,1.328,0.86,0000000000000100,0000000000000100
AT4212,250m W of Oregon Offshore Shallow Profiler,CE04OSPS,44.37383,-124.96000,2019-06-13T21:38:14.000Z,CTD-005,0000000000000100,580,AT4212_CTD-005,0000000000000100,5,0000000000000100,2019-06-13T21:55:12.000Z,182.462,0000000001000100,180.911,44.37388,-124.95990,7.6737,0000000000000100,7.6710,0000000000000100,3.499918,0000000010000100,3.437925,0000000010000100,33.9283,33.9299,2.3851,0000000001000100,6.69519,0.017300,0000000001000100,0.0403,98.9964,0000000001000100,7.598,0000000011000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,2.0843,38.3539,30.6915,0.0168,-0.0001,0000000010000100,0000000010000100,33.9289,0000000010000100,0000000010000100,-9999999,-9999999,-9999999,2231.026873,0000000000000100,0000000000000100,866.02,0000000000000100,0000000000000100,-9999999,-9999999,-9999999,-9999999,2283.92,41.35,2127.65,62.02,7.726,1.391,0.901,0000000000000100,0000000000000100
AT4212,250m W of Oregon Offshore Shallow Profiler,CE04OSPS,44.37383,-124.96000,2019-06-13T21:38:14.000Z,CTD-005,0000000000000100,580,AT4212_CTD-005,0000000000000100,7,0000000000000100,2019-06-13T21:58:21.000Z,162.231,0000000001000100,160.860,44.37388,-124.95988,7.9542,0000000000000100,7.9544,0000000000000100,3.521305,0000000000000100,3.521436,0000000000000100,33.8952,33.8964,2.5549,0000000001000100,6.65430,0.011600,0000000001000100,0.0373,99.0719,0000000001000100,7.617,0000000011000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,2.0153,35.5562,29.4418,0.0165,-0.0001,0000000010000100,0000000010000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,2240.807084,0000000000000100,0000000000000100,856.28,0000000000000100,0000000000000100,-9999999,-9999999,-9999999,-9999999,2297.33,40.5,2136.24,64.06,7.734,1.443,0.935,0000000000000100,0000000000000100
AT4212,250m W of Oregon Offshore Shallow Profiler,CE04OSPS,44.37383,-124.96000,2019-06-13T21:38:14.000Z,CTD-005,0000000000000100,580,AT4212_CTD-005,0000000000000100,9,0000000000000100,2019-06-13T22:01:19.000Z,141.790,0000000001000100,140.599,44.37390,-124.95996,8.2090,0000000000000100,8.2169,0000000000000100,3.539221,0000000010000100,3.437925,0000000010000100,33.8500,33.8489,2.7602,0000000011000100,6.61822,0.013900,0000000001000100,0.0312,99.2225,0000000001000100,7.639,0000000011000100,2.651922,0000000000000100,0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,1.9326,33.1320,28.2481,0.0192,-0.0001,0000000010000100,0000000010000100,33.8541,0000000010000100,0000000010000100,-9999999,-9999999,-9999999,2206.590939,0000000000000100,0000000000000100,854.83,0000000000000100,0000000000000100,-9999999,-9999999,-9999999,-9999999,2262.22,40.1,2103.55,62.94,7.73,1.424,0.923,0000000000000100,0000000000000100
AT4212,250m W of Oregon Offshore Shallow Profiler,CE04OSPS,44.37383,-124.96000,2019-06-13T21:38:14.000Z,CTD-005,0000000000000100,580,AT4212_CTD-005,0000000000000100,11,0000000000000100,2019-06-13T22:04:12.000Z,121.505,0000000001000100,120.491,44.37388,-124.95998,8.6443,0000000000000100,8.6423,0000000000000100,3.561031,0000000000000100,3.561079,0000000000000100,33.6732,33.6756,3.2300,0000000001000100,6.56163,0.019100,0000000001000100,0.0273,99.3215,0000000001000100,7.684,0000000011000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,1.7668,26.7636,25.2094,0.0264,-0.0001,0000000010000100,0000000010000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,2199.022765,0000000010000101,0000000010000100,748.3,0000000010000101,0000000010000100,-9999999,-9999999,-9999999,-9999999,2273.92,34.62,2092.07,72.34,7.788,1.645,1.067,0000000010000101,0000000010000100
